X,Y,incident_id,agency,incident_address,zip_code,priority,callcode,calldescription,category,call_timestamp,precinct_sca,respondingunit,officerinitiated,intaketime,dispatchtime,traveltime,totalresponsetime,time_on_scene,totaltime,neighborhood,block_id,council_district,longitude,latitude,oid
-82.986961795,42.4083576620001,201626400002,DPD ,Promenade Ave & Roseberry St,48213,3,825030,DISTURBANCE,DISTURB ,2016/09/20 09:36:12+00,910A,,No,2.2,528.6,15.5,546.6,120.5,667.1,Wade,261635043003006.0,4.0,-82.9869617954524,42.4083576622369,1
-83.1852128689999,42.4309137870001,201626400019,DPD ,Ardmore St & W 7 Mile Rd,48235,2,811020,AUTO X UNK INJ / IMPAIRED,ACCUNK  ,2016/09/20 09:46:32+00,1201,,No,2.7,5.2,6.4,14.5,59.1,73.6,Tri-Point,261635394003008.0,2.0,-83.1852128687688,42.4309137866103,2
-83.146056718,42.438770452,201626400020,DPD ,Pembroke Ave & Prairie St,48221,3,374030,RECOVER AUTO,RECAUTO ,2016/09/20 09:48:24+00,123B,,No,4.9,,,,,,Oak Grove,261635389002004.0,2.0,-83.1460567184108,42.4387704520095,3
-83.1916026659999,42.3582569430001,201626400024,DPD ,Joy Rd & Robson St,48228,3,825030,DISTURBANCE,DISTURB ,2016/09/20 09:50:29+00,0207,,No,1.4,3.4,7.6,15.0,41.7,56.7,We Care Community,261635354002003.0,7.0,-83.1916026659134,42.3582569426239,4
-83.175124378,42.3608674500001,201626400029,DPD ,Littlefield St & Ellis St,48228,3,374030,RECOVER AUTO,RECAUTO ,2016/09/20 09:54:37+00,28A ,,No,3.0,"1,645.3",,,,"1,668.4",Barton-McFarland,261635350002014.0,7.0,-83.1751243784649,42.3608674501731,5
-83.0481326669999,42.3578452410001,201626400032,DPD ,Russell St & E Canfield St,48207,2,843020,UNKNOWN PROBLEM,UNKPROB ,2016/09/20 09:55:59+00,76A ,,No,3.5,9.9,5.5,18.9,6.4,25.4,Forest Park,261635189001004.0,5.0,-83.0481326665187,42.3578452405944,6
-83.182199613,42.3998046460001,201626400035,DPD ,Chalfonte St & Stansbury St,48227,2,347020,ASSAULT AND BATTERY,AB IP/JH,2016/09/20 09:57:23+00,22A ,,No,1.0,152.8,5.2,160.5,42.4,202.9,Bethune Community,261635371001015.0,2.0,-83.1821996132006,42.3998046461509,7
-83.189925288,42.430732549,201626400038,DPD ,W 7 Mile Rd & Hubbell St,48235,4,811040,AUTO X REPORT,ACCREPT ,2016/09/20 09:59:36+00,1206,,No,3.1,,,,,,Winship,261635396002006.0,2.0,-83.1899252882464,42.4307325489804,8
-82.973928192,42.440824675,201626400043,DPD ,Gratiot Ave & Manning St,48205,2,351020,BURGLARY BUSINESS IP,BBUGIP  ,2016/09/20 10:01:30+00,92B ,,No,0.9,179.2,,,,190.4,Regent Park,261635003004003.0,3.0,-82.9739281920922,42.4408246750233,9
-83.0968435189999,42.3339473080001,201626400045,DPD ,Martin Luther King Jr Blvd & W Grand Blvd,48208,1,811010,AUTO X OR PED X - INJURIES,ACCINJ  ,2016/09/20 10:03:52+00,37B ,,No,0.0,1.3,9.8,11.1,67.5,78.6,Chadsey Condon,261635213001041.0,6.0,-83.0968435191232,42.3339473083321,10
-83.066420938,42.3600010910001,201626400047,DPD ,Woodward Ave & E Kirby St,48202,1,W4887 ,FIRE ALARM,FIREALR ,2016/09/20 10:04:15+00,36B ,,No,2.2,1.3,0.7,4.4,8.8,13.2,Cultural Center,261635180001005.0,5.0,-83.066420938199,42.3600010909296,11
-83.165616354,42.3689225730001,201626400048,DPD ,Pinehurst St & Orangelawn St,48204,5,PKCB  ,CALL BACK DESK,PKCB    ,2016/09/20 10:04:34+00,28B ,,No,2.2,,,,,,Barton-McFarland,261635344002012.0,7.0,-83.1656163539238,42.3689225734272,12
-83.1547621889999,42.371461685,201626400049,DPD ,Elmira St & Aurora St,48204,3,825030,DISTURBANCE,DISTURB ,2016/09/20 10:05:00+00,29A ,,No,2.4,454.4,8.3,465.1,59.0,524.1,Barton-McFarland,261635344001003.0,7.0,-83.1547621892816,42.3714616845022,13
-83.010660419,42.376751658,201626400050,DPD ,Maxwell Ave & E Warren Ave,48213,5,376050,INVESTIGATE AUTO,INVAUTO ,2016/09/20 10:05:08+00,75B ,,No,2.3,,,,,,Gratiot-Grand,261635160001003.0,5.0,-83.0106604187106,42.376751657796,14
-83.111560213,42.3003668800001,201626400053,DPD ,,     ,3,W4891 ,SPECIAL ATTENTION / DETAIL,SPECATTN,2016/09/20 10:10:16+00,    ,,Yes,0.0,0.0,0.0,0.0,39.3,39.3,,,,-83.1115602131719,42.3003668801043,15
-83.19028757,42.3510191280001,201626400054,DPD ,Tireman Ave & Terry St,48228,3,825030,DISTURBANCE,DISTURB ,2016/09/20 10:10:28+00,0207,,No,2.7,189.6,6.9,199.2,0.5,199.7,Fiskhorn,261635355003006.0,7.0,-83.1902875699345,42.3510191284028,16
-82.95821933,42.43560137,201626400057,DPD ,E 7 Mile Rd & Rex St,48205,2,843020,UNKNOWN PROBLEM,UNKPROB ,2016/09/20 10:14:58+00,0903,,No,2.2,181.3,4.3,187.8,31.4,219.1,Regent Park,261635003002007.0,3.0,-82.9582193302337,42.4356013699385,17
-83.1744773039999,42.394928043,201626400058,DPD ,Lyndon St & Cheyenne St,48227,4,372040,UDAA REPORT,UDAAREPT,2016/09/20 10:15:16+00,0203,,No,,,,,,,Bethune Community,261635371001003.0,2.0,-83.1744773041159,42.3949280434324,18
-83.069741651,42.3613919570001,201626400060,DPD ,W Palmer St & Cass Ave,48202,3,W4891 ,SPECIAL ATTENTION / DETAIL,SPECATTN,2016/09/20 10:16:29+00,36B ,,Yes,0.0,0.0,0.0,0.0,33.7,33.7,Wayne State,261635202002001.0,6.0,-83.0697416510237,42.3613919571437,19
-83.195914247,42.3364470120001,201626400067,DPD ,Greenfield & Paul Dr,48126,2,TS    ,TRAFFIC STOP,TRF STOP,2016/09/20 10:21:14+00,    ,3LRF48,Yes,0.0,0.0,0.0,0.0,17.0,17.0,,261635739002013.0,,-83.1959142472686,42.3364470123851,20
-83.227704831,42.371541795,201626400075,DPD ,Warwick St & Fitzpatrick St,48228,2,936020,TRANSPORT PRISONER,TRPPRIS ,2016/09/20 10:34:11+00,67A ,,No,2.3,0.4,0.0,3.0,104.0,107.0,Franklin Park,261635468003007.0,7.0,-83.2277048312082,42.3715417953835,21
-83.1983975639999,42.336415706,201626400081,DPD ,Montrose St & Paul Dr,48126,2,TS    ,TRAFFIC STOP,TRF STOP,2016/09/20 10:43:21+00,    ,CJM896,Yes,0.0,0.0,0.0,0.0,7.0,7.0,,261635743001000.0,7.0,-83.1983975642936,42.3364157055382,22
-83.177419921,42.4118463930001,201626400082,DPD ,Florence St & Snowden St,48235,2,313010,DEAD PERSON OBSERVED,OOBVDEAD,2016/09/20 10:44:13+00,1210,,No,,,,,,,Harmony Village,261635369004003.0,2.0,-83.1774199207228,42.4118463930489,23
-82.9425621199999,42.4230889790001,201626400087,DPD ,Balfour Rd & Morang Dr,48224,3,843030,INVESTIGATE PERSON,INVPERS ,2016/09/20 10:46:16+00,0907,,No,6.1,4.0,,,,34.5,Yorkshire Woods,261635009002000.0,4.0,-82.9425621196318,42.4230889793344,24
-83.135883819,42.429603602,201626400088,DPD ,Clarita St & Fairfield St,48221,2,804020,PANIC / DURESS ALARM,PANIC   ,2016/09/20 10:49:27+00,129A,,No,2.3,364.1,5.3,371.7,9.7,381.4,University District,261635384001002.0,2.0,-83.1358838189394,42.4296036016026,25
-83.1471300759999,42.339682812,201626400094,DPD ,McDonald St & Dayton St,48210,2,347020,ASSAULT AND BATTERY,AB IP/JH,2016/09/20 10:52:27+00,0401,,No,,,,,,,Claytown,261635262001005.0,6.0,-83.1471300759354,42.3396828124776,26
-83.001092773,42.436362595,201626400099,DPD ,Bradford St & Lappin St,48205,3,825030,DISTURBANCE,DISTURB ,2016/09/20 10:52:30+00,0901,,No,3.6,968.0,14.8,986.6,6.7,993.3,Pulaski,261635033004007.0,3.0,-83.0010927730907,42.4363625946967,27
-83.227704831,42.371541795,201626400107,DPD ,Warwick St & Fitzpatrick St,48228,2,936020,TRANSPORT PRISONER,TRPPRIS ,2016/09/20 10:56:15+00,67A , ,No,4.6,345.0,71.8,421.4,125.5,547.0,Franklin Park,261635468003007.0,7.0,-83.2277048312082,42.3715417953835,28
-82.986828251,42.447602155,201626400109,DPD ,Collingham Dr & Pelkey St,48205,3,825030,DISTURBANCE,DISTURB ,2016/09/20 10:57:53+00,0901,,No,1.6,,,,,,Conner Creek,261635032001001.0,3.0,-82.9868282506601,42.4476021547971,29
-83.011888711,42.4197461050001,201626400115,DPD ,E McNichols Rd & Canonbury St,48205,3,352530,BURGLARY OCCUPANT AWAY J/H,HI2JH   ,2016/09/20 10:59:33+00,0908,,No,3.6,222.7,13.0,239.4,31.5,270.9,LaSalle College Park,261635052004003.0,4.0,-83.0118887110686,42.4197461054984,30
-83.080707117,42.4126491530001,201626400117,DPD ,Victor St & Orleans St,48203,2,347020,ASSAULT AND BATTERY,AB IP/JH,2016/09/20 11:03:58+00,1110,,No,2.3,87.0,6.6,96.2,20.3,116.4,North Campau,261635104002015.0,3.0,-83.0807071172633,42.4126491530314,31
-83.0910367069999,42.4423704480001,201626400119,DPD ,Russell St & E Remington Ave,48203,3,825030,DISTURBANCE,DISTURB ,2016/09/20 11:05:46+00,1101,,No,1.7,130.4,12.3,144.6,28.6,173.2,Nolan,261635075003015.0,3.0,-83.0910367069898,42.4423704478545,32
-83.0341772209999,42.3332951850001,201626400121,DPD ,E Jefferson Ave & Rivard St,48207,1,873010,HAZARDOUS CONDITIONS,HAZCON  ,2016/09/20 11:06:17+00,0709,,No,3.0,22.0,7.0,31.9,9.8,41.7,Rivertown,261635165001041.0,5.0,-83.0341772211583,42.3332951845534,33
-83.167243635,42.4240623100001,201626400123,DPD ,Curtis St & Pinehurst St,48221,3,817035,SCHOOL CROSSING,XING    ,2016/09/20 11:07:57+00,127D,,No,2.1,2.0,,,,59.0,Schulze,261635387002005.0,2.0,-83.1672436353388,42.4240623095107,34
-83.185150802,42.368127515,201626400125,DPD ,Mark Twain St & Orangelawn St,48227,3,825030,DISTURBANCE,DISTURB ,2016/09/20 11:09:31+00,0207,,No,7.2,68.9,,,,81.7,Plymouth-Hubbell,261635353001001.0,7.0,-83.1851508019724,42.3681275152869,35
-83.2625290349999,42.416319764,201626400127,DPD ,Cooley St & Santa Maria St,48219,1,802010,HOLD UP ALARM AND MOW,HOLDUP  ,2016/09/20 11:11:52+00,85B ,,No,4.3,19.2,15.7,42.8,6.0,48.7,Oak Grove,261635414001002.0,1.0,-83.2625290347363,42.4163197637984,36
-82.9190347159999,42.4057575570001,201626400136,DPD ,Marseilles St & Munich St,48224,1,343010,FELONIOUS ASSAULT IP,FA IP   ,2016/09/20 11:20:25+00,57B ,,No,1.9,20.0,26.1,48.0,20.7,68.6,Cornerstone Village,261635017002018.0,4.0,-82.919034716121,42.4057575574666,37
-83.220548572,42.374369619,201626400137,DPD ,Penrod St & Wadsworth St,48228,3,825030,DISTURBANCE,DISTURB ,2016/09/20 11:21:00+00,64C ,,No,3.3,,,,,,Southfield Plymouth,261635469001026.0,7.0,-83.2205485715041,42.3743696188845,38
-83.228541262,42.426691546,201626400138,DPD ,Margareta St & Sunderland Rd,48219,3,374030,RECOVER AUTO,RECAUTO ,2016/09/20 11:20:54+00,87A ,,No,2.0,96.6,8.7,107.6,97.7,205.4,Evergreen-Outer Drive,261635405004011.0,1.0,-83.2285412622824,42.4266915455809,39
-83.220455763,42.3721891370001,201626400140,DPD ,Penrod St & Plymouth Rd,48228,3,825030,DISTURBANCE,DISTURB ,2016/09/20 11:21:18+00,67C ,,No,6.7,741.4,1.7,750.1,6.5,756.5,Franklin Park,261635469001038.0,7.0,-83.2204557630955,42.3721891372138,40
-83.067772605,42.3660974250001,201626400141,DPD ,Harper Ave & John R St,48202,3,374030,RECOVER AUTO,RECAUTO ,2016/09/20 11:21:23+00,36A ,,No,3.5,10.3,6.4,20.3,23.0,43.3,Medbury Park,261635119001043.0,5.0,-83.0677726046495,42.366097424945,41
-83.0845468319999,42.3659547990001,201626400145,DPD ,Trumbull St & W Grand Blvd,48208,3,845030,HOLDING PERSON,HOLDPERS,2016/09/20 11:24:32+00,1008,,No,3.2,126.9,7.4,136.3,76.7,212.9,Henry Ford,261635224001004.0,5.0,-83.0845468317171,42.3659547991208,42
-83.168850692,42.358728827,201626400146,DPD ,Appoline Ave & Joy Rd,48228,3,817036,MISCELLANEOUS TRAFFIC,MISCTRAF,2016/09/20 11:24:50+00,28A , ,No,1.9,343.3,0.0,352.8,13.1,365.9,Aviation Sub,261635356002000.0,7.0,-83.1688506921682,42.3587288274186,43
-83.1476219589999,42.443572504,201626400152,DPD ,Norfolk St & San Juan Dr,48221,1,342010,SHOTS FIRED IP,SHOTS IP,2016/09/20 11:27:30+00,123B,,No,1.4,156.9,4.7,164.2,63.5,227.7,Garden Homes,261635390001012.0,2.0,-83.1476219586152,42.4435725042674,44
-82.993378722,42.427480594,201626400157,DPD ,Goulburn St & Greiner St,48205,1,332010,ROBBERY NOT ARMED I/P,RNAIP   ,2016/09/20 11:33:28+00,95B ,,No,2.3,70.9,12.8,87.3,29.0,116.2,Von Steuben,261635035005015.0,3.0,-82.9933787219679,42.4274805941299,45
-82.9580440299999,42.419004676,201626400158,DPD ,Whitehill St & Whittier St,48224,3,342030,"SHOTS J/H, EVIDENCE, REPT",SHOTS JH,2016/09/20 11:32:22+00,0907,,No,1.9,190.9,12.4,205.3,138.8,344.1,Denby,261635010003011.0,4.0,-82.958044030013,42.4190046755607,46
-83.169017148,42.360990364,201626400163,DPD ,Appoline & Ellis St,48228,4,361040,LARCENY REPORT,LARCREPT,2016/09/20 11:36:11+00,28A ,,No,4.6,,,,,,Barton-McFarland,261635350003008.0,7.0,-83.1690171478381,42.3609903642657,47
-83.0745844579999,42.3574400270001,201626400164,DPD ,Kirby St & N M 10 Service Drive,48201,3,814035,PARKING COMPLAINT,PARK    ,2016/09/20 11:35:40+00,36B ,<UNKNOWN>,No,0.0,0.0,2.0,4.5,6.9,11.4,Wayne State,261635202002016.0,6.0,-83.0745844581655,42.3574400267874,48
-83.009138111,42.374649106,201626400165,DPD ,Maxwell St & E Forest Ave,48214,3,374030,RECOVER AUTO,RECAUTO ,2016/09/20 11:37:55+00,75B ,,No,2.2,0.8,0.0,3.0,31.4,34.5,Gratiot-Grand,261635160001004.0,5.0,-83.0091381105544,42.3746491056914,49
-82.997222429,42.362129205,201626400167,DPD ,E Vernor Hwy & Iroquois St,48214,2,805020,VERIFIED ALR / PERSON W/O CODE,VERALRM ,2016/09/20 11:39:12+00,78B ,,No,1.6,239.0,5.8,246.4,20.4,266.8,Indian Village,261635154001010.0,5.0,-82.9972224286114,42.3621292047612,50
-83.148950701,42.323063688,201626400168,DPD ,Saint Stephens St & Western St,48210,2,862020,VICIOUS ANIMAL,VICANML ,2016/09/20 11:40:50+00,0404,,No,2.3,91.9,10.5,104.9,36.6,141.5,Claytown,261635260001005.0,6.0,-83.1489507012865,42.3230636880017,51
-82.9489464499999,42.401161997,201626400169,DPD ,Somerset Ave & Frankfort St,48224,2,W8260 ,NOISE COMPLAINT,NOISE   ,2016/09/20 11:39:37+00,54A ,,No,2.3,"1,054.9",5.5,"1,065.0",12.5,"1,077.5",Morningside,261635013002011.0,4.0,-82.948946450121,42.4011619974302,52
-82.944098737,42.4149737330001,201626400176,DPD ,King Richard St & Kensington Ave,48224,3,353030,BURGLARY OTHER,HI3     ,2016/09/20 11:44:48+00,0907,,No,0.9,,,,,,Yorkshire Woods,261635010002012.0,4.0,-82.9440987365243,42.414973733479,53
-83.190473755,42.390938863,201626400180,DPD ,Lauder St & Intervale St,48227,3,353030,BURGLARY OTHER,HI3     ,2016/09/20 11:45:45+00,22B ,,No,2.0,798.7,13.1,814.9,23.2,838.0,Hubbell-Lyndon,261635378001000.0,1.0,-83.1904737553786,42.3909388631749,54
-83.264078146,42.439572637,201626400181,DPD ,Alderton St & Trojan St,48219,4,372040,UDAA REPORT,UDAAREPT,2016/09/20 11:46:02+00,0801,,No,4.8,,,,,,Berg-Lahser,261635415004013.0,1.0,-83.2640781462068,42.4395726368439,55
